split,motion_id,line_index,caption,tokens,f_tag,to_tag,style_groups,matched_keywords,text_path
train,000083,1,the person puts one foot in front of the other in a slow walking pace.,the/DET person/NOUN put/VERB one/NUM foot/NOUN in/ADP front/NOUN of/ADP the/DET other/ADJ in/ADP a/DET slow/ADJ walking/NOUN pace/NOUN,0.0,0.0,Controlled motion,slow,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000098,2,person walks casually and not fast in a circle.,person/NOUN walk/VERB casually/ADV and/CCONJ not/PART fast/VERB in/ADP a/DET circle/NOUN,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000101,2,a man runs forward fast.,a/DET man/NOUN run/VERB forward/ADV fast/ADV,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000105,1,person is taking slight steps the longer steps like theyre dancing,person/NOUN is/AUX take/VERB slight/ADJ step/NOUN the/DET longer/ADJ step/NOUN like/SCONJ they/PRON be/VERB dance/VERB,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000105,2,"a person steps with their feet, dancing back and forth",a/DET person/NOUN step/VERB with/ADP their/DET foot/NOUN dance/VERB back/ADV and/CCONJ forth/ADV,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000107,1,"a person takes seven quick, short steps forward.",a/DET person/NOUN take/VERB seven/NUM quick/ADJ short/ADJ step/NOUN forward/ADV,0.0,0.0,Energetic dynamic,quick,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000108,0,a person is carrying a heavy object in the right hand.,a/DET person/NOUN is/AUX carry/VERB a/DET heavy/ADJ object/NOUN in/ADP the/DET right/ADJ hand/NOUN,0.0,0.0,Heavy awkward,heavy,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000120,0,the figure appears to be ballroom dancing by themselves noteably their hands aren't up as if to indicate a partner and their neck is downturned to look at their feet; they take steps that outline a square with their feet apart and then together then back and together before they turn out of the square and seem to be starting the patern again.,the/DET figure/NOUN appear/VERB to/PART be/AUX ballroom/NOUN dancing/NOUN by/ADP themselves/PRON noteably/ADV their/DET hand/NOUN are/AUX up/ADV as/SCONJ if/SCONJ to/PART indicate/VERB a/DET partner/NOUN and/CCONJ their/DET neck/NOUN is/AUX downturne/VERB to/PART look/VERB at/ADP their/DET foot/NOUN they/PRON take/VERB step/NOUN that/DET outline/VERB a/DET square/NOUN with/ADP their/DET foot/NOUN apart/ADV and/CCONJ then/ADV together/ADV then/ADV back/ADV and/CCONJ together/ADV before/ADP they/PRON turn/VERB out/SCONJ of/ADP the/DET square/NOUN and/CCONJ seem/VERB to/PART be/AUX start/VERB the/DET patern/NOUN again/ADV,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000120,1,someone lowers their arms and begins to dance by shuffling their feet in a square pattern.,someone/PRON lower/VERB their/DET arm/NOUN and/CCONJ begin/VERB to/PART dance/VERB by/ADP shuffle/VERB their/DET foot/NOUN in/ADP a/DET square/ADJ pattern/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000125,1,he walks forward quickly and starts to dance. raises his right hand above his head and twirls. swings multiple times as if doing ballet.,he/PRON walk/VERB forward/ADV quickly/ADV and/CCONJ start/VERB to/PART dance/VERB raise/VERB his/DET right/ADJ hand/NOUN above/ADP his/DET head/NOUN and/CCONJ twirls/PROPN swing/NOUN multiple/ADJ time/NOUN as/SCONJ if/SCONJ do/VERB ballet/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000125,2,someone dancing like a ballerina,someone/PRON dance/VERB like/SCONJ a/DET ballerina/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000142,0,a person runs forward fast.,a/DET person/NOUN run/VERB forward/ADV fast/ADV,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000158,2,a man takes a large quick step to his left then stops.,a/DET man/NOUN take/VERB a/DET large/ADJ quick/ADJ step/NOUN to/ADP his/DET left/NOUN then/ADV stop/VERB,0.0,0.0,Energetic dynamic,quick,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000190,0,"a person is jump up and down while circling both hands forward, then continues to jumping on one leg alternatively.",a/DET person/NOUN is/AUX jump/VERB up/ADP and/CCONJ down/ADV while/SCONJ circle/VERB both/DET hand/NOUN forward/ADV then/ADV continue/VERB to/ADP jump/VERB on/ADP one/NUM leg/NOUN alternatively/ADV,0.0,10.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000190,1,a person swings their arm as they jump.,a/DET person/NOUN swing/VERB their/DET arm/NOUN as/SCONJ they/PRON jump/VERB,0.0,4.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000218,2,"someone positions their self into a ballet dance, flutters their hands in circular motions, steps into a spin and kicks as they spin into their final pose.",someone/PRON position/VERB their/DET self/NOUN into/ADP a/DET ballet/NOUN dance/NOUN flutter/VERB their/DET hand/NOUN in/ADP circular/ADJ motion/NOUN step/NOUN into/ADP a/DET spin/NOUN and/CCONJ kick/NOUN as/SCONJ they/PRON spin/VERB into/ADP their/DET final/ADJ pose/NOUN,0.0,0.0,Dance expressive,dance;spin,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000226,2,person walks down the stairs whilst holding the rail slightly quick then jumps when is at the bottom,person/NOUN walk/VERB down/ADP the/DET stair/NOUN whilst/SCONJ hold/VERB the/DET rail/NOUN slightly/ADV quick/ADJ then/ADV jump/VERB when/ADV is/AUX at/ADP the/DET bottom/NOUN,0.0,0.0,Energetic dynamic,quick,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000244,2,person is walking with a limp to their left,person/NOUN is/AUX walk/VERB with/ADP a/DET limp/NOUN to/ADP their/DET left/NOUN,0.0,0.0,Heavy awkward,limp,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000250,2,a person walks forward in place fast.,a/DET person/NOUN walk/VERB forward/ADV in/ADP place/NOUN fast/ADV,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000251,0,a person takes a giant leap forward while his arms flail out to his sides.,a/DET person/NOUN take/VERB a/DET giant/ADJ leap/NOUN forward/ADV while/SCONJ his/DET arm/NOUN flail/VERB out/ADP to/ADP his/DET side/NOUN,0.0,0.0,Energetic dynamic,leap,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000251,2,person takes a big jump forwards by using their arms as momentum,person/NOUN take/VERB a/DET big/ADJ jump/NOUN forwards/ADV by/ADP use/VERB their/DET arm/NOUN as/SCONJ momentum/NOUN,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000278,1,a person dancing in a club,a/DET person/NOUN dance/VERB in/ADP a/DET club/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000287,0,he is running very fast.,he/PRON is/AUX run/VERB very/ADV fast/ADV,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000292,0,person is dancing eloquently,person/NOUN is/AUX dance/VERB eloquently/ADV,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000292,2,"it a 1,2,3 dance move.",it/PRON a/DET dance/NOUN move/NOUN,1.0,3.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000300,0,a person is perfoming a dance move.,a/DET person/NOUN is/AUX perfome/VERB a/DET dance/NOUN move/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000300,1,"person is dancing with arms at the position with another person, moves backwards, to the left and the forwards again and back to the original spot",person/NOUN is/AUX dance/VERB with/ADP arm/NOUN at/ADP the/DET position/NOUN with/ADP another/DET person/NOUN move/NOUN backwards/ADV to/ADP the/DET left/NOUN and/CCONJ the/DET forward/NOUN again/ADV and/CCONJ back/ADV to/ADP the/DET original/ADJ spot/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000315,1,a person alternating between swinging arm walks in an elipsoid at an easy steady pace.,a/DET person/NOUN alternate/VERB between/ADP swinge/VERB arm/NOUN walk/VERB in/ADP an/DET elipsoid/NOUN at/ADP an/DET easy/ADJ steady/ADJ pace/NOUN,0.0,0.0,Controlled motion,steady,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000328,0,a person raises their right arm and performs a quick waving motion with their hand in a greet-like manner.,a/DET person/NOUN raise/VERB their/DET right/ADJ arm/NOUN and/CCONJ perform/VERB a/DET quick/ADJ waving/NOUN motion/NOUN with/ADP their/DET hand/NOUN in/ADP a/DET greetlike/NOUN manner/NOUN,0.0,0.0,Energetic dynamic,quick,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000334,2,a person runs to their right and turns around to run to their left.,a/DET person/NOUN run/VERB to/ADP their/DET right/NOUN and/CCONJ turn/VERB around/ADP to/PART run/VERB to/ADP their/DET left/NOUN,0.0,0.0,Energetic dynamic,run,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000342,0,"a person does jumping jacks, spreading their arms and legs out and in with each jump",a/DET person/NOUN does/AUX jump/VERB jack/NOUN spread/VERB their/DET arm/NOUN and/CCONJ leg/NOUN out/ADV and/CCONJ in/ADV with/ADP each/DET jump/NOUN,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000353,1,a person takes a quick side step to its left.,a/DET person/NOUN take/VERB a/DET quick/ADJ side/NOUN step/NOUN to/ADP its/DET left/NOUN,0.0,0.0,Energetic dynamic,quick,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000353,2,person takes a large step to the left fast,person/NOUN take/VERB a/DET large/ADJ step/NOUN to/ADP the/DET left/NOUN fast/ADV,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000354,1,he is jumping very fast.,he/PRON is/AUX jump/VERB very/ADV fast/ADV,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000360,2,i see someone jump up once,i/PRON see/VERB someone/PRON jump/VERB up/ADP once/ADV,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000371,1,a person walks in a steady slow pace with one foot in front of the other.,a/DET person/NOUN walk/VERB in/ADP a/DET steady/ADJ slow/ADJ pace/NOUN with/ADP one/NUM foot/NOUN in/ADP front/NOUN of/ADP the/DET other/ADJ,0.0,0.0,Controlled motion,slow;steady,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000375,1,"someone casually walks to the left, making a fluid turn.",someone/PRON casually/ADV walk/VERB to/ADP the/DET left/NOUN make/VERB a/DET fluid/ADJ turn/NOUN,0.0,0.0,Graceful smooth,fluid,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000376,0,a man like figure walks forward in very slow motion and then stops.,a/DET man/NOUN like/SCONJ figure/NOUN walk/VERB forward/ADV in/ADP very/ADV slow/ADJ motion/NOUN and/CCONJ then/ADV stop/VERB,0.0,0.0,Controlled motion,slow,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000377,0,a person starts dancing in an eratic fashion.,a/DET person/NOUN start/VERB dance/VERB in/ADP an/DET eratic/ADJ fashion/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000377,1,"a person walks forward, turns around, and then starts dancing.",a/DET person/NOUN walk/VERB forward/ADV turn/VERB around/ADV and/CCONJ then/ADV start/VERB dancing/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000377,2,a person walking in a forward motion turns around and starts to shake his body in a dance,a/DET person/NOUN walk/VERB in/ADP a/DET forward/ADJ motion/NOUN turn/VERB around/ADP and/CCONJ start/VERB to/PART shake/VERB his/DET body/NOUN in/ADP a/DET dance/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000402,2,"a figure bouncing off one foot to the other dancing in a figure 8, while waving their arms around the air in rhythm with their feet",a/DET figure/NOUN bounce/VERB off/ADP one/NUM foot/NOUN to/ADP the/DET other/ADJ dancing/NOUN in/ADP a/DET figure/NOUN while/SCONJ wave/VERB their/DET arm/NOUN around/ADP the/DET air/NOUN in/ADP rhythm/NOUN with/ADP their/DET foot/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000411,0,someone is dancing by kicking their legs foward and stepping back. they are also moving their arms back and forth.,someone/PRON is/AUX dance/VERB by/ADP kick/VERB their/DET leg/NOUN foward/ADJ and/CCONJ step/VERB back/ADP they/PRON are/AUX also/ADV move/VERB their/DET arm/NOUN back/ADV and/CCONJ forth/ADV,0.0,10.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000411,2,a person breaks into an enthusiastic dance.,a/DET person/NOUN break/VERB into/ADP an/DET enthusiastic/ADJ dance/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000415,0,"someone punches the ground with their right hand, then makes a leap towards the right.",someone/PRON punch/VERB the/DET ground/NOUN with/ADP their/DET right/ADJ hand/NOUN then/ADV make/VERB a/DET leap/NOUN towards/ADP the/DET right/NOUN,0.0,0.0,Energetic dynamic,leap,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000415,1,a person performs a punch motion then a forward jump.,a/DET person/NOUN perform/VERB a/DET punch/NOUN motion/NOUN then/ADV a/DET forward/ADJ jump/NOUN,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000415,2,a figure twists from left to right while bending at the hips then takes a leap forward.,a/DET figure/NOUN twist/NOUN from/ADP left/VERB to/ADP right/ADV while/SCONJ bend/VERB at/ADP the/DET hip/NOUN then/ADV take/VERB a/DET leap/NOUN forward/ADV,0.0,0.0,Energetic dynamic,leap,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000422,1,a kid spin around getting dizzy,a/DET kid/ADJ spin/NOUN around/ADP get/VERB dizzy/ADJ,0.0,0.0,Dance expressive,spin,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000423,0,person is doing fast jumping jacks,person/NOUN is/AUX do/VERB fast/ADJ jump/VERB jack/NOUN,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000457,2,"a man lifted up their left lag and started to jump with its right leg, then kicked with its right leg.",a/DET man/NOUN lift/VERB up/ADP their/DET left/ADJ lag/NOUN and/CCONJ start/VERB to/PART jump/VERB with/ADP its/DET right/ADJ leg/NOUN then/ADV kick/VERB with/ADP its/DET right/ADJ leg/NOUN,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000459,1,person is doing a baseball throw but in slow motion,person/NOUN is/AUX do/VERB a/DET baseball/NOUN throw/NOUN but/CCONJ in/ADP slow/ADJ motion/NOUN,0.0,0.0,Controlled motion,slow,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000471,2,"while a person is standing, they bend their knees and jump forward.",while/SCONJ a/DET person/NOUN is/AUX stand/VERB they/PRON bend/VERB their/DET knee/NOUN and/CCONJ jump/VERB forward/ADV,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000491,1,a person takes long strides forward and takes an even longer stride using their right foot to jump over something.,a/DET person/NOUN take/VERB long/ADJ stride/NOUN forward/ADV and/CCONJ take/VERB an/DET even/ADV longer/ADV stride/NOUN use/VERB their/DET right/ADJ foot/NOUN to/PART jump/VERB over/ADP something/PRON,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000496,0,a person walks forward slowly with legs stiff and spread wide and rocking from side to side.,a/DET person/NOUN walk/VERB forward/ADV slowly/ADV with/ADP leg/NOUN stiff/ADJ and/CCONJ spread/VERB wide/ADV and/CCONJ rock/VERB from/ADP side/NOUN to/ADP side/NOUN,0.0,0.0,Heavy awkward,stiff,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000504,1,"person does a jump with legs out slowly, then squats and jumps up again very slowly",person/NOUN does/AUX a/DET jump/NOUN with/ADP leg/NOUN out/ADV slowly/ADV then/ADV squats/PROPN and/CCONJ jump/VERB up/ADP again/ADV very/ADV slowly/ADV,0.0,0.0,Energetic dynamic,jump,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000505,0,a person walks forward and then starts dancing.,a/DET person/NOUN walk/VERB forward/ADV and/CCONJ then/ADV start/VERB dancing/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000505,1,he does a salsa dance,he/PRON does/AUX a/DET salsa/ADJ dance/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000509,2,a person is doing a dance.,a/DET person/NOUN is/AUX do/VERB a/DET dance/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000514,0,a person is dancing and hopping in the air.,a/DET person/NOUN is/AUX dance/VERB and/CCONJ hop/VERB in/ADP the/DET air/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000514,1,"a person is standing on the ground. they do a rhythmic dance using primarily his feet, throwing them back one at a time then jumping. their arms are used to stabilize themselves and keep balance.",a/DET person/NOUN is/AUX stand/VERB on/ADP the/DET ground/NOUN they/PRON do/AUX a/DET rhythmic/ADJ dance/NOUN use/VERB primarily/ADV his/DET foot/NOUN throw/VERB them/PRON back/ADV one/NUM at/ADP a/DET time/NOUN then/ADV jump/VERB their/DET arm/NOUN are/AUX use/VERB to/PART stabilize/VERB themselves/PRON and/CCONJ keep/VERB balance/NOUN,0.0,0.0,Dance expressive,dance;rhythmic,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000514,2,a person dances with a hop in the middle of the dance.,a/DET person/NOUN dance/VERB with/ADP a/DET hop/NOUN in/ADP the/DET middle/NOUN of/ADP the/DET dance/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000517,2,a person walks with a limp,a/DET person/NOUN walk/VERB with/ADP a/DET limp/NOUN,0.0,0.0,Heavy awkward,limp,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000525,2,a person shakes their hips and arms while dancing.,a/DET person/NOUN shake/VERB their/DET hip/NOUN and/CCONJ arm/NOUN while/SCONJ dance/VERB,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000527,1,the person is dancing towards floor.,the/DET person/NOUN is/AUX dance/VERB towards/ADP floor/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000527,2,a person flails around in a dance like motion in place.,a/DET person/NOUN flail/VERB around/ADP in/ADP a/DET dance/NOUN like/SCONJ motion/NOUN in/ADP place/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000538,1,a person steps up to kick a ball then starts to run.,a/DET person/NOUN step/VERB up/ADP to/PART kick/VERB a/DET ball/NOUN then/ADV start/VERB to/PART run/VERB,0.0,0.0,Energetic dynamic,run,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000573,0,a person is dancing the waltz.,a/DET person/NOUN is/AUX dance/VERB the/DET waltz/NOUN,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000583,2,someone is doing arm exercises and dancing a little while they are doing so.,someone/PRON is/AUX do/VERB arm/NOUN exercise/NOUN and/CCONJ dance/VERB a/DET little/ADJ while/SCONJ they/PRON are/AUX do/VERB so/ADV,0.0,0.0,Dance expressive,dancing,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000586,2,the person is slow punching.,the/DET person/NOUN is/AUX slow/ADJ punching/NOUN,0.0,0.0,Controlled motion,slow,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000594,0,"a person softly hops in position, keeping their arms and legs stiff.",a/DET person/NOUN softly/ADV hop/VERB in/ADP position/NOUN keep/VERB their/DET arm/NOUN and/CCONJ leg/NOUN stiff/ADJ,0.0,0.0,Heavy awkward,stiff,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000602,1,a person is waving their right palm sideways in front of their shoulder at fast pace.,a/DET person/NOUN is/AUX wave/VERB their/DET right/ADJ palm/NOUN sideways/ADV in/ADP front/NOUN of/ADP their/DET shoulder/NOUN at/ADP fast/ADJ pace/NOUN,0.0,0.0,Energetic dynamic,fast,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000606,0,"a man walks forwards quickly, swinging his bent arms in a quick motion.",a/DET man/NOUN walk/VERB forwards/ADP quickly/ADV swinge/VERB his/DET bent/ADJ arm/NOUN in/ADP a/DET quick/ADJ motion/NOUN,0.0,0.0,Energetic dynamic,quick,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000618,0,a person having a difficult time figuring out a dance to perform.,a/DET person/NOUN have/VERB a/DET difficult/ADJ time/NOUN figure/VERB out/ADP a/DET dance/NOUN to/PART perform/VERB,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000650,0,this person appears to stumble as if frightened.,this/DET person/NOUN appear/VERB to/PART stumble/VERB as/SCONJ if/SCONJ frighten/VERB,0.0,0.0,Heavy awkward,stumble,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000653,0,someone is doing the salsa dance steps repetitively.,someone/PRON is/AUX do/VERB the/DET salsa/NOUN dance/NOUN step/NOUN repetitively/ADV,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
train,000653,2,"a man performs a salsa dance, moving arms and legs to a rhythm",a/DET man/NOUN perform/VERB a/DET salsa/NOUN dance/NOUN move/VERB arm/NOUN and/CCONJ leg/NOUN to/ADP a/DET rhythm/NOUN,0.0,0.0,Dance expressive,dance,D:\roboticsreport\HumanML3D\data\train-00000-of-00007.parquet
